name,year,area,genre,score,comment_people,tags
肖申克的救赎,导演: 弗兰克·德拉邦特 Frank Darabont   主演: 蒂姆·罗宾斯 Tim Robbins,美国,犯罪 剧情,9.7,0人评价,无标签
霸王别姬,导演: 陈凯歌 Kaige Chen   主演: 张国荣 Leslie Cheung,中国大陆 中国香港,剧情 爱情 同性,9.6,0人评价,无标签
泰坦尼克号,导演: 詹姆斯·卡梅隆 James Cameron   主演: 莱昂纳多·迪卡普里奥 Leonardo...1997,美国,剧情 爱情 灾难,9.5,0人评价,无标签
阿甘正传,导演: 罗伯特·泽米吉斯 Robert Zemeckis   主演: 汤姆·汉克斯 Tom Hanks,美国,剧情 爱情,9.5,0人评价,无标签
千与千寻,导演: 宫崎骏 Hayao Miyazaki   主演: 柊瑠美 Rumi Hîragi,日本,剧情 动画 奇幻,9.4,0人评价,无标签
美丽人生,导演: 罗伯托·贝尼尼 Roberto Benigni   主演: 罗伯托·贝尼尼 Roberto Beni...1997,意大利,剧情 喜剧 爱情 战争,9.5,0人评价,无标签
星际穿越,导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 马修·麦康纳 Matthew Mc...2014,美国 英国 加拿大,剧情 科幻 冒险,9.4,0人评价,无标签
这个杀手不太冷,导演: 吕克·贝松 Luc Besson   主演: 让·雷诺 Jean Reno,法国 美国,剧情 动作 犯罪,9.4,0人评价,无标签
盗梦空间,导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 莱昂纳多·迪卡普里奥 Le...2010,美国 英国,剧情 科幻 悬疑 冒险,9.4,0人评价,无标签
楚门的世界,导演: 彼得·威尔 Peter Weir   主演: 金·凯瑞 Jim Carrey,美国,剧情 科幻,9.4,0人评价,无标签
辛德勒的名单,导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 连姆·尼森 Liam Neeson...1993,美国,剧情 历史 战争,9.5,0人评价,无标签
忠犬八公的故事,导演: 莱塞·霍尔斯道姆 Lasse Hallström   主演: 理查·基尔 Richard Ger...2009,美国 英国,剧情,9.4,0人评价,无标签
海上钢琴师,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 蒂姆·罗斯 Tim Roth,意大利,剧情 音乐,9.3,0人评价,无标签
疯狂动物城,导演: 拜伦·霍华德 Byron Howard,美国,喜剧 动画 冒险,9.3,0人评价,无标签
三傻大闹宝莱坞,导演: 拉库马·希拉尼 Rajkumar Hirani   主演: 阿米尔·汗 Aamir Khan,印度,剧情 喜剧 爱情 歌舞,9.2,0人评价,无标签
机器人总动员,导演: 安德鲁·斯坦顿 Andrew Stanton   主演: 本·贝尔特 Ben Burtt,美国,科幻 动画 冒险,9.3,0人评价,无标签
放牛班的春天,导演: 克里斯托夫·巴拉蒂 Christophe Barratier   主演: 让-巴蒂斯特·莫尼...2004,法国 瑞士 德国,剧情 音乐,9.3,0人评价,无标签
无间道,导演: 刘伟强,中国香港,剧情 犯罪 惊悚,9.3,0人评价,无标签
控方证人,导演: 比利·怀尔德 Billy Wilder   主演: 泰隆·鲍华 Tyrone Power,美国,剧情 犯罪 悬疑 惊悚,9.6,0人评价,无标签
寻梦环游记,导演: 李·昂克里奇 Lee Unkrich,美国,喜剧 动画 奇幻 音乐,9.1,0人评价,无标签
大话西游之大圣娶亲,导演: 刘镇伟 Jeffrey Lau   主演: 周星驰 Stephen Chow,中国香港 中国大陆,喜剧 爱情 奇幻 古装,9.2,0人评价,无标签
熔炉,导演: 黄东赫 Dong-hyuk Hwang   主演: 孔侑 Yoo Gong,韩国,剧情,9.3,0人评价,无标签
触不可及,导演: 奥利维·那卡什 Olivier Nakache,法国,剧情 喜剧,9.3,0人评价,无标签
教父,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 马龙·白兰度 M...1972,美国,剧情 犯罪,9.3,0人评价,无标签
末代皇帝,导演: 贝纳尔多·贝托鲁奇 Bernardo Bertolucci   主演: 尊龙 John Lone,英国 意大利 中国大陆 法国,剧情 传记 历史,9.3,0人评价,无标签
哈利·波特与魔法石,导演: Chris Columbus   主演: Daniel Radcliffe,美国 英国,奇幻 冒险,9.2,0人评价,无标签
当幸福来敲门,导演: 加布里尔·穆奇诺 Gabriele Muccino   主演: 威尔·史密斯 Will Smith ...2006,美国,剧情 传记 家庭,9.1,0人评价,无标签
龙猫,导演: 宫崎骏 Hayao Miyazaki   主演: 日高法子 Noriko Hidaka,日本,动画 奇幻 冒险,9.2,0人评价,无标签
活着,导演: 张艺谋 Yimou Zhang   主演: 葛优 You Ge,中国大陆 中国香港,剧情 历史 家庭,9.3,0人评价,无标签
怦然心动,导演: 罗伯·莱纳 Rob Reiner   主演: 玛德琳·卡罗尔 Madeline Carroll,美国,剧情 喜剧 爱情,9.1,0人评价,无标签
蝙蝠侠：黑暗骑士,导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 克里斯蒂安·贝尔 Christ...2008,美国 英国,剧情 动作 科幻 犯罪 惊悚,9.2,0人评价,无标签
指环王3：王者无敌,导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood,美国 新西兰,剧情 动作 奇幻 冒险,9.3,0人评价,无标签
我不是药神,导演: 文牧野 Muye Wen   主演: 徐峥 Zheng Xu,中国大陆,剧情 喜剧,9.0,0人评价,无标签
乱世佳人,导演: 维克多·弗莱明 Victor Fleming,美国,剧情 历史 爱情 战争,9.3,0人评价,无标签
让子弹飞,导演: 姜文 Wen Jiang   主演: 姜文 Wen Jiang,中国大陆 中国香港,剧情 喜剧 动作 西部,9.0,0人评价,无标签
飞屋环游记,导演: 彼特·道格特 Pete Docter,美国,剧情 喜剧 动画 冒险,9.1,0人评价,无标签
哈尔的移动城堡,导演: 宫崎骏 Hayao Miyazaki   主演: 倍赏千惠子 Chieko Baishô,日本,爱情 动画 奇幻 冒险,9.1,0人评价,无标签
十二怒汉,导演: 西德尼·吕美特 Sidney Lumet   主演: 亨利·方达 Henry Fonda,美国,剧情,9.4,0人评价,无标签
海蒂和爷爷,导演: 阿兰·葛斯彭纳 Alain Gsponer   主演: 阿努克·斯特芬 Anuk Steffen,德国 瑞士,剧情 冒险 家庭,9.3,0人评价,无标签
素媛,导演: 李濬益 Jun-ik Lee   主演: 薛景求 Kyung-gu Sol,韩国,剧情,9.3,0人评价,无标签
猫鼠游戏,导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 莱昂纳多·迪卡普里奥 L...2002,美国 加拿大,传记 犯罪 剧情,9.1,0人评价,无标签
天空之城,导演: 宫崎骏 Hayao Miyazaki   主演: 田中真弓 Mayumi Tanaka,日本,动画 奇幻 冒险,9.2,0人评价,无标签
鬼子来了,导演: 姜文 Wen Jiang   主演: 姜文 Wen Jiang,中国大陆,剧情 喜剧,9.3,0人评价,无标签
摔跤吧！爸爸,导演: 涅提·蒂瓦里 Nitesh Tiwari   主演: 阿米尔·汗 Aamir Khan,印度,剧情 传记 运动 家庭,9.0,0人评价,无标签
少年派的奇幻漂流,导演: 李安 Ang Lee   主演: 苏拉·沙玛 Suraj Sharma,美国 中国台湾 英国 加拿大,剧情 奇幻 冒险,9.1,0人评价,无标签
钢琴家,导演: 罗曼·波兰斯基 Roman Polanski   主演: 艾德里安·布洛迪 Adrien Brod...2002,英国 法国 波兰 德国 美国,剧情 传记 战争 音乐,9.3,0人评价,无标签
死亡诗社,导演: 彼得·威尔 Peter Weir   主演: 罗宾·威廉姆斯 Robin Williams,美国,剧情,9.2,0人评价,无标签
指环王2：双塔奇兵,导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood,美国 新西兰,剧情 动作 奇幻 冒险,9.2,0人评价,无标签
大话西游之月光宝盒,导演: 刘镇伟 Jeffrey Lau   主演: 周星驰 Stephen Chow,中国香港 中国大陆,喜剧 爱情 奇幻 古装,9.0,0人评价,无标签
绿皮书,导演: 彼得·法雷里 Peter Farrelly   主演: 维果·莫腾森 Viggo Mortensen,美国 中国大陆,剧情 喜剧 传记 音乐,8.9,0人评价,无标签
何以为家,导演: 娜丁·拉巴基 Nadine Labaki   主演: 扎因·拉费阿 Zain al-Rafeea,黎巴嫩 美国 法国 塞浦路斯 卡塔尔 英国,剧情,9.1,0人评价,无标签
闻香识女人,导演: 马丁·布莱斯 Martin Brest   主演: 阿尔·帕西诺 Al Pacino,美国,剧情,9.1,0人评价,无标签
大闹天宫,导演: 万籁鸣 Laiming Wan   主演: 邱岳峰 Yuefeng Qiu,中国大陆,剧情 动画 奇幻 古装,9.4,0人评价,无标签
黑客帝国,导演: 安迪·沃卓斯基 Andy Wachowski,美国,动作 科幻,9.1,0人评价,无标签
指环王1：护戒使者,导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood,新西兰 美国 英国,剧情 动作 奇幻 冒险,9.1,0人评价,无标签
罗马假日,导演: 威廉·惠勒 William Wyler   主演: 奥黛丽·赫本 Audrey Hepburn,美国,喜剧 剧情 爱情,9.1,0人评价,无标签
教父2,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 阿尔·帕西诺 A...1974,美国,剧情 犯罪,9.3,0人评价,无标签
狮子王,导演: Roger Allers,美国,动画 冒险 歌舞,9.1,0人评价,无标签
天堂电影院,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 菲利普·努瓦雷 Philipp...1988,意大利 法国,剧情 爱情,9.2,0人评价,无标签
饮食男女,导演: 李安 Ang Lee   主演: 郎雄 Sihung Lung,中国台湾 美国,剧情 家庭,9.2,0人评价,无标签
辩护人,导演: 杨宇硕 Woo-seok Yang   主演: 宋康昊 Kang-ho Song,韩国,剧情,9.2,0人评价,无标签
本杰明·巴顿奇事,导演: 大卫·芬奇 David Fincher   主演: 布拉德·皮特 Brad Pitt,美国,剧情 爱情 奇幻,9.0,0人评价,无标签
搏击俱乐部,导演: 大卫·芬奇 David Fincher   主演: 爱德华·诺顿 Edward Norton,美国,剧情 动作 悬疑 惊悚,9.0,0人评价,无标签
美丽心灵,导演: 朗·霍华德 Ron Howard   主演: 罗素·克劳 Russell Crowe,美国,传记 剧情,9.1,0人评价,无标签
穿条纹睡衣的男孩,导演: 马克·赫尔曼 Mark Herman   主演: 阿萨·巴特菲尔德 Asa Butterfield ...2008,英国 美国,剧情 战争,9.2,0人评价,无标签
哈利·波特与死亡圣器(下),导演: 大卫·叶茨 David Yates   主演: 丹尼尔·雷德克里夫 Daniel Radcliffe...2011,美国 英国,奇幻 冒险,9.0,0人评价,无标签
两杆大烟枪,导演: 盖·里奇 Guy Ritchie   主演: 杰森·弗莱明 Jason Flemyng,英国,剧情 喜剧 犯罪,9.1,0人评价,无标签
